  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-18.750 1.155 c18_33_c18_0474_0001
-18.749 1.402 c18_88_c18_0202_0001
-18.738 1.406 c18_66_c18_0986_0001
-18.735 6.110 c18_11_c18_0296_0001
-18.733 6.853 c18_66_c18_1055_0001
-18.720 1.911 c18_66_c18_1002_0001
-18.720 5.079 c18_55_c18_1036_0001
-18.703 1.445 c18_55_c18_1162_0001
-18.702 1.095 c18_44_c18_1160_0001
-18.696 1.236 c18_22_c18_0669_0001
-18.682 1.385 c18_66_c18_0821_0001
-18.673 4.172 c18_44_c18_0784_0001
-18.666 1.476 c18_77_c18_0312_0001
-18.657 1.236 c18_22_c18_0694_0001
-18.657 6.881 c18_66_c18_0836_0001
-18.657 7.933 c18_88_c18_0168_0001
-18.655 1.743 c18_77_c18_1027_0001
-18.655 6.531 c18_66_c18_0388_0001
-18.651 6.397 c18_33_c18_1173_0001
-18.649 2.335 c18_22_c18_0573_0001
-18.642 6.489 c18_33_c18_0827_0001
-18.636 7.006 c18_55_c18_0318_0001
-18.635 5.633 c18_33_c18_0161_0001
-18.633 6.660 c18_44_c18_0969_0001
-18.632 1.924 c18_22_c18_0219_0001
-18.625 2.686 c18_11_c18_1163_0001
-18.619 1.583 c18_11_c18_0503_0001
-18.619 2.213 c18_44_c18_0056_0001
-18.618 1.592 c18_88_c18_0504_0001
-18.596 6.415 c18_44_c18_1056_0001
-18.587 6.456 c18_33_c18_0023_0001
-18.586 1.403 c18_88_c18_1066_0001
-18.578 1.740 c18_11_c18_1081_0001
-18.576 1.393 c18_55_c18_0292_0001
-18.571 1.377 c18_66_c18_0639_0001
-18.571 1.627 c18_33_c18_0794_0001
-18.565 2.299 c18_22_c18_0140_0001
-18.565 5.969 c18_44_c18_0173_0001
-18.561 1.641 c18_55_c18_0731_0001
-18.551 6.217 c18_33_c18_0949_0001
-18.542 0.932 c18_22_c18_0476_0001
-18.538 0.950 c18_44_c18_0530_0001
-18.534 6.342 c18_33_c18_0497_0001
-18.526 1.525 c18_22_c18_0789_0001
-18.525 1.732 c18_55_c18_0776_0001
-18.516 6.443 c18_11_c18_1013_0001
-18.514 2.051 c18_11_c18_0504_0001
-18.504 1.070 c18_44_c18_0549_0001
-18.499 7.383 c18_44_c18_0965_0001
-18.485 1.515 c18_11_c18_0813_0001
-18.485 7.915 c18_88_c18_0767_0001
-18.461 7.963 c18_22_c18_0091_0001
-18.460 4.131 c18_44_c18_1112_0001
-18.455 1.364 c18_88_c18_0161_0001
